ms, degC
505,25.31
1004,25.37
1503,25.44
2001,25.50
2500,25.62
2999,25.62
3499,25.69
3997,25.75
4496,25.81
4995,25.87
5493,25.87
5992,26.00
6492,26.00
6990,26.06
7489,26.12
7988,26.19
8487,26.25
8986,26.25
9485,26.31
9984,26.37
10483,26.37
10982,26.44
11481,26.50
11979,26.56
12479,26.62
12978,26.69
13476,26.69
13975,26.75
14475,26.81
14973,26.87
15472,26.94
15971,26.94
16471,27.00
16969,27.06
17468,27.12
17968,27.12
18466,27.19
18965,27.25
19465,27.25
19963,27.31
20462,27.31
20962,27.37
21460,27.44
21960,27.44
22459,27.50
22958,27.50
23457,27.62
23956,27.56
24456,27.69
24954,27.69
25454,27.75
25953,27.75
26452,27.81
26951,27.87
27451,27.87
27950,27.87
28448,27.94
28948,28.00
29447,28.06
29946,28.12
30445,28.12
30944,28.19
31443,28.25
31942,28.19
32442,28.25
-32595,28.25
-32096,28.31
-31597,28.37
-31098,28.44
-30599,28.44
-30100,28.44
-29600,28.50
-29102,28.56
-28602,28.56
-28103,28.62
-27603,28.62
-27105,28.62
-26605,28.69
-26106,28.69
-25607,28.75
-25108,28.75
-24609,28.81
-24110,28.87
-23611,28.87
-23111,28.94
-22612,28.94
-22113,28.94
-21614,29.00
-21114,29.00
-20616,29.06
-20116,29.06
-19617,29.12
-19118,29.12
-18619,29.19
-18119,29.19
-17620,29.25
-17121,29.31
-16622,29.31
-16122,29.31
-15624,29.37
-15124,29.37
-14625,29.37
-14126,29.44
-13627,29.50
-13127,29.50
-12628,29.56
-12129,29.56
-11630,29.62
-11130,29.62
-10632,29.62
-10132,29.69
-9632,29.69
-9134,29.69
-8634,29.75
-8634,29.75
-8135,29.75
-7635,29.81
-7137,29.81
-6637,29.81
-6138,29.87
-5639,29.87
-5140,29.87
-4640,29.94
-4141,29.94
-3642,30.00
-3142,30.00
-2643,30.00
-2144,30.06
-1645,30.12
-1145,30.06
-646,30.12
-147,30.19
353,30.19
851,30.19
1351,30.25
1850,30.25
2350,30.25
2848,30.31
3348,30.31
3848,30.37
4346,30.37
4846,30.37
5345,30.37
5844,30.44
6344,30.44
6843,30.50
7343,30.56
7842,30.56
8341,30.56
8841,30.56
9339,30.56
9839,30.56
10339,30.69
10838,30.62
11337,30.69
11837,30.69
12336,30.69
12835,30.69
13335,30.75
13835,30.75
14333,30.81
14833,30.81
15333,30.81
15833,30.87
16331,30.87
16831,30.94
17331,30.94
17830,30.94
18329,31.00
18829,31.00
19329,31.00
19828,31.06
20327,31.06
20827,31.06
21326,31.12
21826,31.12
22325,31.19
22824,31.19
23324,31.12
23824,31.19
24324,31.25
24822,31.25
25322,31.25
25822,31.25
26321,31.25
26821,31.31
27320,31.31
27820,31.31
28319,31.37
28819,31.37
29319,31.44
29817,31.37
30317,31.44
30817,31.44
31316,31.44
31816,31.44
32316,31.56
-32721,31.50
-32222,31.50
-31722,31.56
-31222,31.56
-30723,31.56
-30223,31.62
-29724,31.62
-29224,31.69
-28725,31.62
-28225,31.69
-27725,31.69
-27226,31.69
-26726,31.69
-26226,31.75
-25727,31.75
-25228,31.75
-24728,31.81
-24228,31.75
-23729,31.81
-23229,31.81
-22729,31.87
-22229,31.81
-21730,31.87
-21230,31.87
-20730,31.94
-20231,31.94
-19731,31.94
-19231,31.94
-18732,32.00
-18232,32.00
-17733,32.00
