ms,degC
505,28.31
1004,28.44
1504,28.50
2002,28.50
2502,28.50
3001,28.56
3500,28.56
3999,28.62
4498,28.62
4998,28.69
5496,28.69
5996,28.75
6495,28.81
6994,28.81
7493,28.81
7992,28.87
8492,28.87
8990,28.94
9490,28.94
9989,29.00
10488,29.00
10987,29.06
11487,29.06
11985,29.06
12485,29.12
12984,29.12
13484,29.19
13982,29.25
14482,29.25
14982,29.25
15480,29.31
15980,29.31
16479,29.37
16978,29.37
17478,29.37
17977,29.44
18477,29.44
18975,29.44
19475,29.50
19975,29.56
20473,29.56
20973,29.56
21473,29.62
21971,29.62
22471,29.69
22970,29.69
23470,29.69
23969,29.75
24468,29.75
24968,29.75
25467,29.81
25966,29.81
26466,29.87
26966,29.87
27464,29.87
27964,29.87
28464,29.94
28962,29.94
29462,30.00
29962,29.94
30460,30.00
30960,30.00
31460,30.06
31960,30.12
32458,30.06
-32578,30.06
-32078,30.12
-31579,30.12
-31080,30.19
-30580,30.25
-30080,30.19
-29581,30.25
-29082,30.25
-28582,30.25
-28083,30.31
-27583,30.31
-27084,30.37
-26585,30.37
-26085,30.37
-25585,30.44
-25086,30.44
-24587,30.44
-24087,30.50
-23587,30.50
-23088,30.50
-22588,30.50
-22089,30.56
-21589,30.56
-21090,30.56
-20590,30.62
-20090,30.62
-19591,30.69
-19091,30.69
-18592,30.62
-18093,30.69
-17593,30.69
-17093,30.69
-16593,30.75
-16095,30.75
-15595,30.75
-15095,30.81
-14596,30.81
-14096,30.81
-13596,30.81
-13096,30.87
-12597,30.87
-12098,30.87
-11598,30.94
-11099,30.94
-10599,30.94
-10099,31.00
-9599,31.00
-9100,31.00
-8601,31.06
-8101,31.06
-7602,31.06
-7102,31.12
-6602,31.12
-6104,31.12
-5604,31.12
-5104,31.12
-4604,31.12
-4105,31.19
-3605,31.19
-3105,31.25
-2606,31.25
-2106,31.25
-1606,31.31
-1106,31.31
-607,31.31
-107,31.31
392,31.37
891,31.37
1391,31.37
1891,31.37
2391,31.44
2890,31.44
3390,31.44
3890,31.44
4389,31.50
4889,31.50
5389,31.50
8386,31.56
8886,31.62
9385,31.62
9885,31.62
10385,31.62
10884,31.69
11383,31.69
11883,31.69
12383,31.75
12882,31.75
13382,31.75
13882,31.75
14382,31.75
14881,31.81
15381,31.81
15881,31.87
16380,31.81
16880,31.87
17380,31.87
17880,31.87
18379,31.87
18879,32.00
19379,31.87
19878,31.94
20378,31.94
20878,31.94
21378,32.00
21877,32.00
22376,32.06
22876,32.00
23375,32.06
23875,32.06
24375,32.06
24875,32.06
25374,32.06
25874,32.13
26374,32.13
26873,32.13
27373,32.13
27873,32.19
28372,32.19
28872,32.19
29372,32.19
29872,32.25
30371,32.25
30871,32.19
31371,32.25
31870,32.31
32370,32.25
-32666,32.25
-32166,32.31
-31667,32.25
-31167,32.38
-30667,32.31
-30168,32.31
-29668,32.38
-29168,32.31
-28668,32.38
