ms, degC
505,26.62
1004,26.75
1503,26.75
2001,26.81
2501,26.87
3000,26.87
3499,26.94
3997,27.06
4497,27.06
4996,27.12
5494,27.25
5993,27.25
6493,27.31
6991,27.31
7490,27.31
7990,27.50
8488,27.50
8987,27.50
9487,27.56
9986,27.56
10484,27.69
10984,27.69
11483,27.75
11981,27.81
12481,27.87
12980,27.87
13479,27.94
13978,27.94
14478,28.06
14977,28.06
15476,28.06
15975,28.12
16474,28.25
16973,28.25
17473,28.25
17972,28.31
18471,28.31
18970,28.37
19470,28.44
19969,28.50
20467,28.50
20967,28.56
21466,28.62
21965,28.69
22464,28.62
22964,28.69
23462,28.75
23962,28.81
24461,28.87
24961,28.94
25459,28.94
25959,29.00
26458,29.00
26957,29.00
27457,29.06
27956,29.06
28455,29.19
28954,29.19
29454,29.25
29953,29.25
30452,29.31
30952,29.31
31451,29.37
31950,29.44
32449,29.50
-32587,29.50
-32088,29.50
-31589,29.50
-31089,29.62
-30590,29.56
-30091,29.62
-29591,29.69
-29092,29.69
-28593,29.75
-28093,29.81
-27594,29.81
-27095,29.87
-26596,29.87
-26096,29.87
-25596,29.87
-25098,30.00
-24598,30.00
-24098,30.06
-23600,30.06
-23100,30.12
-22600,30.12
-22101,30.12
-21602,30.19
-21102,30.19
-20602,30.19
-20104,30.25
-19604,30.25
-19104,30.25
-18605,30.31
-18106,30.37
-17606,30.37
-17106,30.37
-16608,30.44
-16108,30.50
-15608,30.50
-15109,30.50
-14609,30.56
-14109,30.62
-13610,30.62
-13111,30.62
-12611,30.69
-12111,30.69
-11612,30.69
-11112,30.75
-10613,30.75
-10114,30.81
-9614,30.81
-9114,30.81
-8614,30.87
-7116,30.94
-6617,30.94
-6117,30.94
-5617,31.00
-5118,30.94
-4619,31.00
-4119,31.06
-3619,31.12
-3120,31.12
-2620,31.12
-2120,31.12
-1621,31.12
-1122,31.19
-622,31.19
-122,31.25
377,31.25
877,31.25
1376,31.25
1875,31.31
2375,31.31
2875,31.37
3375,31.37
3874,31.37
4374,31.44
4874,31.44
5372,31.50
5872,31.50
6372,31.50
6872,31.56
7371,31.56
7871,31.56
8371,31.56
8869,31.62
9369,31.62
9869,31.62
10369,31.62
10868,31.69
9369,31.62
9869,31.62
10369,31.62
10868,31.69
11368,31.69
11868,31.75
12367,31.75
12866,31.75
13366,31.75
13865,31.81
14365,31.81
14865,31.81
15365,31.81
15864,31.87
16364,31.87
16864,31.87
17363,31.87
17863,31.87
18363,31.94
18863,31.94
19362,31.94
19861,32.00
20361,32.00
20860,32.00
21360,32.06
21860,32.06
22360,32.06
22859,32.06
23359,32.13
23859,32.13
24358,32.13
24858,32.13
25358,32.13
25858,32.19
26357,32.19
26857,32.25
27357,32.19
27856,32.25
28356,32.25
28856,32.31
29356,32.25
29855,32.25
30355,32.31
30855,32.31
31354,32.38
31854,32.38
32354,32.38
-32682,32.38
-32183,32.38
-31683,32.38
-31183,32.44
-30684,32.44
-30183,32.44
-29683,32.44
-29183,32.50
