ms,degC
505,28.12
1004,28.12
1504,28.19
2002,28.25
2502,28.25
3001,28.31
3501,28.37
3999,28.44
4499,28.44
4998,28.50
5497,28.62
5996,28.62
6496,28.69
6994,28.69
7494,28.75
7993,28.81
8492,28.87
8991,28.94
9490,28.94
9990,28.94
10488,29.06
10988,29.00
11487,29.12
11986,29.12
12485,29.12
12985,29.25
13485,29.25
13983,29.31
14483,29.31
14982,29.37
15481,29.44
15980,29.4
16480,29.50
16978,29.50
17478,29.56
17977,29.62
18477,29.62
18975,29.69
19475,29.69
19975,29.75
20473,29.75
20973,29.75
21472,29.81
21971,29.87
22471,29.87
22970,29.87
23470,29.94
23968,30.00
24468,30.00
24968,30.06
25466,30.06
25966,30.06
26466,30.12
26964,30.19
27464,30.19
27964,30.25
28463,30.31
28962,30.25
29462,30.31
29961,30.31
30460,30.37
30960,30.44
31459,30.44
31959,30.44
32458,30.44
-32579,30.50
-32079,30.50
-31580,30.56
-31081,30.62
-30581,30.62
-30082,30.69
-29582,30.69
-29083,30.75
-28583,30.75
-28084,30.75
-27584,30.81
-27085,30.75
-26586,30.81
-26086,30.87
-25586,30.87
-25087,30.87
-24588,30.94
-24088,31.00
-23588,31.00
-23090,31.00
-22590,31.06
-22090,31.06
-21591,31.06
-21091,31.12
-20592,31.12
-20092,31.19
-19593,31.19
-19093,31.19
-18593,31.19
-18095,31.25
-17595,31.31
-17095,31.31
-16595,31.31
-16096,31.37
-15596,31.37
-15097,31.37
-14598,31.37
-14098,31.44
-13598,31.50
-13098,31.50
-12599,31.50
-12100,31.56
-11600,31.56
-11101,31.56
-10601,31.56
-10101,31.56
-9602,31.56
-9102,31.62
-8602,31.62
-8102,31.62
-7603,31.69
-7103,31.69
-6603,31.75
-6104,31.75
-5604,31.81
-5104,31.81
-4605,31.81
-4106,31.81
-3606,31.81
-3106,31.87
-2607,31.87
-2107,31.94
-1607,31.87
-1107,31.87
-608,32.00
-108,32.00
392,32.00
891,32.00
1391,32.00
1890,32.06
2390,32.06
2889,32.06
3389,32.13
3889,32.06
4388,32.13
4888,32.13
5388,32.19
5888,32.19
6387,32.19
6886,32.25
7386,32.25
7885,32.25
8385,32.25
8885,32.31
9384,32.31
9884,32.31
10384,32.31
10884,32.31
11383,32.31
11883,32.38
12383,32.38
12882,32.38
13382,32.38
13882,32.44
14382,32.44
14881,32.44
15382,32.50
15882,32.50
16381,32.50
16881,32.50
17381,32.50
17881,32.50
18380,32.56
18880,32.56
19380,32.56
19880,32.56
20380,32.63
20880,32.63
21380,32.63
21879,32.63
22379,32.69
22879,32.75
23378,32.69
23878,32.69
24379,32.69
24879,32.69
25378,32.75
25878,32.75
26378,32.75
26877,32.81
27377,32.81
27877,32.81
28377,32.81
28876,32.88
29376,32.88
29876,32.88
30375,32.88
30875,32.88
31376,32.88
31876,32.94
32375,32.94
-32661,32.94
-32161,33.00
-31662,32.94
-31162,32.94
