ms,degC
505,27.31
1004,27.44
1503,27.44
2001,27.50
2500,27.56
3000,27.56
3499,27.62
3997,27.69
4496,27.69
4996,27.69
5494,27.75
5993,27.75
6493,27.81
6991,27.87
7490,27.87
7989,27.94
8488,27.94
8987,28.00
9486,28.06
9986,28.06
10484,28.06
10983,28.12
11483,28.19
11981,28.19
12481,28.19
12980,28.25
13479,28.25
13978,28.31
14478,28.31
14977,28.37
15475,28.44
15975,28.50
16474,28.50
16973,28.50
17472,28.50
17972,28.56
18470,28.50
18970,28.50
19469,28.62
19969,28.62
20467,28.62
20967,28.62
21466,28.69
21965,28.75
22464,28.69
22964,28.69
23462,28.75
23962,28.75
24462,28.75
24961,28.75
25460,28.81
25959,28.81
26459,28.75
26957,28.87
27457,28.87
27956,28.81
28455,28.87
28955,28.94
29454,28.94
29954,29.00
30452,29.00
30952,29.00
31451,29.00
31950,29.00
32449,29.06
-32587,29.06
-32089,29.06
-31589,29.12
-31089,29.06
-30590,29.12
-30091,29.06
-29592,29.12
-29092,29.12
-28593,29.12
-28094,29.19
-27594,29.19
-27096,29.19
-26596,29.19
-26097,29.19
-25597,29.19
-25099,29.25
-24599,29.25
-24100,29.25
-23601,29.25
-23102,29.25
-22602,29.31
-22104,29.25
-21604,29.31
-21105,29.31
-20605,29.37
-20107,29.31
-19607,29.31
-19107,29.37
-18609,29.37
-18109,29.37
-17610,29.44
-17111,29.44
-16612,29.44
-16112,29.44
-15613,29.44
-15114,29.44
-14614,29.50
-14115,29.44
-13616,29.50
-13117,29.50
-12617,29.50
-12119,29.50
-11619,29.56
-11120,29.50
-10620,29.56
-10121,29.56
-9622,29.56
-9122,29.56
-8624,29.62
-8124,29.62
-7625,29.62
-7125,29.62
-6627,29.56
-6127,29.62
-5628,29.69
-5129,29.62
-4630,29.62
-4130,29.69
-3632,29.69
-3132,29.69
-2633,29.69
-2133,29.69
-1635,29.75
-1135,29.69
-635,29.81
-137,29.75
363,29.75
862,29.81
1361,29.81
1860,29.81
2360,29.81
2859,29.81
3358,29.81
3857,29.87
4357,29.87
4856,29.94
5355,29.94
5855,29.87
6353,29.87
6853,29.87
7352,29.94
7852,29.94
8350,29.94
8850,29.94
9350,29.94
9848,29.94
10348,30.00
10847,30.00
11346,30.00
11846,30.06
12345,30.00
12845,30.00
13344,30.06
13843,30.00
14343,30.06
14841,30.06
15341,30.06
15841,30.06
16339,30.06
16839,30.06
17339,30.12
17838,30.06
18337,30.12
18837,30.19
19336,30.19
19835,30.19
20335,30.19
20834,30.19
21334,30.19
21833,30.19
22332,30.19
22832,30.19
23331,30.19
23830,30.19
24330,30.25
24829,30.25
25328,30.25
25828,30.25
26328,30.31
26826,30.31
27326,30.31
27826,30.31
28325,30.31
28824,30.37
29324,30.31
29824,30.37
30322,30.37
30822,30.44
31322,30.44
31820,30.44
32320,30.44
-32716,30.44
-32218,30.44
-31718,30.44
-31218,30.44
-30719,30.50
-30220,30.44
-29720,30.50
-29220,30.44
-28722,30.50
-28222,30.50
-27722,30.56
-27223,30.56
-26724,30.56
-26224,30.56
-25724,30.62
