ms,degC
505,27.75
1004,27.87
1504,27.87
2002,27.94
2502,28.00
3001,28.06
3501,28.12
3999,28.19
4499,28.25
4998,28.31
5497,28.31
5996,28.37
6496,28.44
6994,28.44
7494,28.50
7993,28.56
8493,28.62
8991,28.69
9491,28.69
9990,28.69
10489,28.81
10988,28.81
11488,28.87
11986,28.94
12486,28.94
12986,29.00
13485,29.06
13984,29.06
14484,29.12
14983,29.19
15482,29.25
15982,29.25
16481,29.31
16980,29.31
17480,29.44
17979,29.44
18479,29.50
18978,29.50
19478,29.56
19977,29.56
20476,29.62
20976,29.69
21476,29.69
21975,29.75
22474,29.81
22974,29.81
23474,29.87
23973,29.94
24472,29.94
24972,29.94
25472,30.00
25971,30.06
26470,30.06
26970,30.12
27469,30.12
27969,30.19
28469,30.25
28967,30.25
29467,30.31
29967,30.31
30467,30.37
30966,30.37
31465,30.37
31965,30.44
32464,30.44
-32572,30.50
-32072,30.50
-31573,30.56
-31074,30.62
-30574,30.62
-30074,30.69
-29575,30.75
-29075,30.75
-28575,30.75
-28076,30.81
-27577,30.81
-14087,31.56
-13587,31.56
-13087,31.56
-12588,31.62
-12088,31.62
-11587,31.69
-11088,31.69
-10589,31.75
-10088,31.81
-9588,31.75
-9090,31.81
-8590,31.81
-8090,31.87
-7590,31.94
-7091,31.87
-6591,31.94
-6091,31.94
-5592,32.00
-5092,32.00
-4592,32.06
-4092,32.06
-3593,32.06
-3093,32.06
-2593,32.13
-2094,32.13
-1594,32.19
-1093,32.19
-593,32.19
-94,32.19
406,32.25
906,32.25
1405,32.25
1905,32.31
2405,32.31
2905,32.31
3404,32.38
3904,32.44
4904,32.38
5404,32.50
5904,32.50
6404,32.50
6903,32.56
7404,32.63
7904,32.63
8403,32.56
8903,32.56
9403,32.63
9903,32.63
10402,32.63
10902,32.69
11403,32.69
11902,32.69
12402,32.69
12902,32.75
13402,32.75
13902,32.75
14402,32.81
14902,32.81
15401,32.88
15901,32.88
16401,32.88
16902,32.88
17401,32.94
17901,33.00
18401,33.00
18900,33.00
19400,33.00
19901,33.00
20401,33.00
20900,33.06
21400,33.06
21900,33.13
22401,33.13
22900,33.13
23400,33.1
24900,33.19
25400,33.19
25900,33.19
26400,33.25
26900,33.31
27400,33.31
27899,33.31
28400,33.31
28900,33.38
29400,33.38
29900,33.38
30400,33.38
30900,33.38
31400,33.38
31900,33.44
32400,33.50
-32635,33.50
-32136,33.50
-31636,33.50
-31135,33.50
-30636,33.50
-30135,33.56
-29635,33.56
-29134,33.63
-28635,33.56
-28135,33.56
-27634,33.63
-27134,33.63
-26635,33.69
-26134,33.69
-25634,33.69
-25135,33.75
-24634,33.69
-24134,33.69
-23634,33.75
